"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.005 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedALA_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"16","0.10680456683039666","0.10680456683039666","0.10680456683039666","-0.1987278938293457","-0.1987278938293457","-0.1987278938293457","-0.10140250101685525","-0.10140250101685525","-0.10140250101685525","-0.19440956562757492","-0.19440956562757492","-0.19440956562757492"
"17","0.10007318444550037","0.10007318444550037","0.10007318444550037","-0.20262845158576964","-0.20262845158576964","-0.20262845158576964","-0.10279242694377899","-0.10279242694377899","-0.10279242694377899","-0.20054371505975724","-0.20054371505975724","-0.20054371505975724"
"18","0.09277593418955803","0.09277593418955803","0.09277593418955803","-0.2084019035100937","-0.2084019035100937","-0.2084019035100937","-0.10635549798607827","-0.10635549798607827","-0.10635549798607827","-0.20619877874851228","-0.20619877874851228","-0.20619877874851228"
"19","0.08560783844441175","0.08560783844441175","0.08560783844441175","-0.21147258430719376","-0.21147258430719376","-0.21147258430719376","-0.10794188603758811","-0.10794188603758811","-0.10794188603758811","-0.20967788994312286","-0.20967788994312286","-0.20967788994312286"
"20","0.07848963625729084","0.07848963625729084","0.07848963625729084","-0.21349886655807496","-0.21349886655807496","-0.21349886655807496","-0.10942858979105949","-0.10942858979105949","-0.10942858979105949","-0.2118179902434349","-0.2118179902434349","-0.2118179902434349"
"21","0.07365487869828939","0.07365487869828939","0.07365487869828939","-0.21525228321552276","-0.21525228321552276","-0.21525228321552276","-0.11005693450570106","-0.11005693450570106","-0.11005693450570106","-0.2134695142507553","-0.2134695142507553","-0.2134695142507553"
"22","0.06687217666767538","0.06687217666767538","0.06687217666767538","-0.21508674919605256","-0.21508674919605256","-0.21508674919605256","-0.10998929738998413","-0.10998929738998413","-0.10998929738998413","-0.21439693123102188","-0.21439693123102188","-0.21439693123102188"
"23","0.05972751525696367","0.05972751525696367","0.05972751525696367","-0.2160394862294197","-0.2160394862294197","-0.2160394862294197","-0.11156446859240532","-0.11156446859240532","-0.11156446859240532","-0.21436727643013","-0.21436727643013","-0.21436727643013"
"24","0.053265768254641445","0.053265768254641445","0.053265768254641445","-0.2158333644270897","-0.2158333644270897","-0.2158333644270897","-0.11313368305563927","-0.11313368305563927","-0.11313368305563927","-0.21438207030296325","-0.21438207030296325","-0.21438207030296325"
"25","0.04662256233859807","0.04662256233859807","0.04662256233859807","-0.2164886012673378","-0.2164886012673378","-0.2164886012673378","-0.11200238168239593","-0.11200238168239593","-0.11200238168239593","-0.21543858349323272","-0.21543858349323272","-0.21543858349323272"
"26","0.04134623189456761","0.04134623189456761","0.04134623189456761","-0.215392042696476","-0.215392042696476","-0.215392042696476","-0.11468313708901405","-0.11468313708901405","-0.11468313708901405","-0.21472539901733398","-0.21472539901733398","-0.21472539901733398"
"27","0.033727092668414116","0.033727092668414116","0.033727092668414116","-0.21602990925312043","-0.21602990925312043","-0.21602990925312043","-0.11493186578154564","-0.11493186578154564","-0.11493186578154564","-0.2136416718363762","-0.2136416718363762","-0.2136416718363762"
"28","0.027003091806545854","0.027003091806545854","0.027003091806545854","-0.21448615491390227","-0.21448615491390227","-0.21448615491390227","-0.11516237482428551","-0.11516237482428551","-0.11516237482428551","-0.2134614735841751","-0.2134614735841751","-0.2134614735841751"
"29","0.020047393470304087","0.020047393470304087","0.020047393470304087","-0.21579917073249816","-0.21579917073249816","-0.21579917073249816","-0.11639623641967774","-0.11639623641967774","-0.11639623641967774","-0.21418946832418442","-0.21418946832418442","-0.21418946832418442"
"30","0.013441261602565646","0.013441261602565646","0.013441261602565646","-0.21621548682451247","-0.21621548682451247","-0.21621548682451247","-0.11515661478042602","-0.11515661478042602","-0.11515661478042602","-0.21240867525339127","-0.21240867525339127","-0.21240867525339127"
"31","0.0060773908626288176","0.0060773908626288176","0.0060773908626288176","-0.21500110775232315","-0.21500110775232315","-0.21500110775232315","-0.1174070492386818","-0.1174070492386818","-0.1174070492386818","-0.21344527453184128","-0.21344527453184128","-0.21344527453184128"
"32","-0.001465435279533267","-0.001465435279533267","-0.001465435279533267","-0.21614857763051987","-0.21614857763051987","-0.21614857763051987","-0.11807821244001389","-0.11807821244001389","-0.11807821244001389","-0.21272087544202806","-0.21272087544202806","-0.21272087544202806"
"33","-0.008658644743263721","-0.008658644743263721","-0.008658644743263721","-0.2169639900326729","-0.2169639900326729","-0.2169639900326729","-0.12002392113208771","-0.12002392113208771","-0.12002392113208771","-0.21408628821372985","-0.21408628821372985","-0.21408628821372985"
"34","-0.014490343816578388","-0.014490343816578388","-0.014490343816578388","-0.2154715597629547","-0.2154715597629547","-0.2154715597629547","-0.12204298600554467","-0.12204298600554467","-0.12204298600554467","-0.21302153915166855","-0.21302153915166855","-0.21302153915166855"
"35","-0.021269918838515877","-0.021269918838515877","-0.021269918838515877","-0.21693436652421952","-0.21693436652421952","-0.21693436652421952","-0.12358100712299347","-0.12358100712299347","-0.12358100712299347","-0.2129817172884941","-0.2129817172884941","-0.2129817172884941"
"36","-0.0281517093651928","-0.0281517093651928","-0.0281517093651928","-0.2152214914560318","-0.2152214914560318","-0.2152214914560318","-0.12487077414989471","-0.12487077414989471","-0.12487077414989471","-0.2134149417281151","-0.2134149417281151","-0.2134149417281151"
"37","-0.03454984468407929","-0.03454984468407929","-0.03454984468407929","-0.2152485027909279","-0.2152485027909279","-0.2152485027909279","-0.1268211454153061","-0.1268211454153061","-0.1268211454153061","-0.215508870780468","-0.215508870780468","-0.215508870780468"
"38","-0.04162116606712516","-0.04162116606712516","-0.04162116606712516","-0.21801582127809524","-0.21801582127809524","-0.21801582127809524","-0.12770205587148667","-0.12770205587148667","-0.12770205587148667","-0.21754148304462434","-0.21754148304462434","-0.21754148304462434"
"39","-0.04855410829186439","-0.04855410829186439","-0.04855410829186439","-0.2175465241074562","-0.2175465241074562","-0.2175465241074562","-0.1295400530099869","-0.1295400530099869","-0.1295400530099869","-0.21551961153745652","-0.21551961153745652","-0.21551961153745652"
"40","-0.05352809317409992","-0.05352809317409992","-0.05352809317409992","-0.2192762091755867","-0.2192762091755867","-0.2192762091755867","-0.1300622873008251","-0.1300622873008251","-0.1300622873008251","-0.2186957433819771","-0.2186957433819771","-0.2186957433819771"
"41","-0.05923916948959231","-0.05923916948959231","-0.05923916948959231","-0.2186171293258667","-0.2186171293258667","-0.2186171293258667","-0.1322360374033451","-0.1322360374033451","-0.1322360374033451","-0.21894336640834808","-0.21894336640834808","-0.21894336640834808"
"42","-0.06600169884040952","-0.06600169884040952","-0.06600169884040952","-0.22056057006120683","-0.22056057006120683","-0.22056057006120683","-0.13476582616567612","-0.13476582616567612","-0.13476582616567612","-0.21995864808559418","-0.21995864808559418","-0.21995864808559418"
"43","-0.07138083865866066","-0.07138083865866066","-0.07138083865866066","-0.2224697545170784","-0.2224697545170784","-0.2224697545170784","-0.1357081152498722","-0.1357081152498722","-0.1357081152498722","-0.22173186689615249","-0.22173186689615249","-0.22173186689615249"
"44","-0.07712391633540391","-0.07712391633540391","-0.07712391633540391","-0.22383494675159454","-0.22383494675159454","-0.22383494675159454","-0.13777955546975135","-0.13777955546975135","-0.13777955546975135","-0.22254838943481445","-0.22254838943481445","-0.22254838943481445"
"45","-0.08112148828804493","-0.08112148828804493","-0.08112148828804493","-0.22521504908800125","-0.22521504908800125","-0.22521504908800125","-0.13915789872407913","-0.13915789872407913","-0.13915789872407913","-0.22248100340366364","-0.22248100340366364","-0.22248100340366364"
"46","-0.08762678429484368","-0.08762678429484368","-0.08762678429484368","-0.22614033967256547","-0.22614033967256547","-0.22614033967256547","-0.14057263880968093","-0.14057263880968093","-0.14057263880968093","-0.22251052856445314","-0.22251052856445314","-0.22251052856445314"
"47","-0.09213993959128856","-0.09213993959128856","-0.09213993959128856","-0.2261219322681427","-0.2261219322681427","-0.2261219322681427","-0.14093447774648665","-0.14093447774648665","-0.14093447774648665","-0.22418592721223832","-0.22418592721223832","-0.22418592721223832"
"48","-0.09620353430509568","-0.09620353430509568","-0.09620353430509568","-0.22867167443037034","-0.22867167443037034","-0.22867167443037034","-0.14273974001407624","-0.14273974001407624","-0.14273974001407624","-0.22583907693624497","-0.22583907693624497","-0.22583907693624497"
"49","-0.10048790611326694","-0.10048790611326694","-0.10048790611326694","-0.22862035632133484","-0.22862035632133484","-0.22862035632133484","-0.14495404362678527","-0.14495404362678527","-0.14495404362678527","-0.22768257409334183","-0.22768257409334183","-0.22768257409334183"
"50","-0.10434432029724121","-0.10434432029724121","-0.10434432029724121","-0.2293558269739151","-0.2293558269739151","-0.2293558269739151","-0.1472168043255806","-0.1472168043255806","-0.1472168043255806","-0.22921224683523178","-0.22921224683523178","-0.22921224683523178"
"51","-0.10922306478023529","-0.10922306478023529","-0.10922306478023529","-0.23052329272031785","-0.23052329272031785","-0.23052329272031785","-0.14894672930240632","-0.14894672930240632","-0.14894672930240632","-0.22904278486967086","-0.22904278486967086","-0.22904278486967086"
"52","-0.11301842406392097","-0.11301842406392097","-0.11301842406392097","-0.23143393397331238","-0.23143393397331238","-0.23143393397331238","-0.14880287423729896","-0.14880287423729896","-0.14880287423729896","-0.22865956425666809","-0.22865956425666809","-0.22865956425666809"
"53","-0.11506981886923313","-0.11506981886923313","-0.11506981886923313","-0.23183981329202652","-0.23183981329202652","-0.23183981329202652","-0.15175419226288794","-0.15175419226288794","-0.15175419226288794","-0.22979436665773392","-0.22979436665773392","-0.22979436665773392"
"54","-0.11777568943798541","-0.11777568943798541","-0.11777568943798541","-0.23173490762710572","-0.23173490762710572","-0.23173490762710572","-0.1530970588326454","-0.1530970588326454","-0.1530970588326454","-0.23049148172140121","-0.23049148172140121","-0.23049148172140121"
"55","-0.12143590711057187","-0.12143590711057187","-0.12143590711057187","-0.2327973276376724","-0.2327973276376724","-0.2327973276376724","-0.15619016140699388","-0.15619016140699388","-0.15619016140699388","-0.23104992657899856","-0.23104992657899856","-0.23104992657899856"
"56","-0.12295451909303665","-0.12295451909303665","-0.12295451909303665","-0.23319245874881744","-0.23319245874881744","-0.23319245874881744","-0.15681401118636132","-0.15681401118636132","-0.15681401118636132","-0.23123662173748016","-0.23123662173748016","-0.23123662173748016"
"57","-0.12588947974145412","-0.12588947974145412","-0.12588947974145412","-0.2335341081023216","-0.2335341081023216","-0.2335341081023216","-0.15918180346488953","-0.15918180346488953","-0.15918180346488953","-0.23255405575037003","-0.23255405575037003","-0.23255405575037003"
"58","-0.12657937556505203","-0.12657937556505203","-0.12657937556505203","-0.2333141580224037","-0.2333141580224037","-0.2333141580224037","-0.1606579914689064","-0.1606579914689064","-0.1606579914689064","-0.23133974224328996","-0.23133974224328996","-0.23133974224328996"
"59","-0.12712426595389842","-0.12712426595389842","-0.12712426595389842","-0.23376128375530242","-0.23376128375530242","-0.23376128375530242","-0.16120086312294007","-0.16120086312294007","-0.16120086312294007","-0.23322995603084565","-0.23322995603084565","-0.23322995603084565"
"60","-0.12967481054365634","-0.12967481054365634","-0.12967481054365634","-0.23436619341373444","-0.23436619341373444","-0.23436619341373444","-0.16333031207323073","-0.16333031207323073","-0.16333031207323073","-0.2332596093416214","-0.2332596093416214","-0.2332596093416214"
"61","-0.1319032959640026","-0.1319032959640026","-0.1319032959640026","-0.2349761888384819","-0.2349761888384819","-0.2349761888384819","-0.16629323735833168","-0.16629323735833168","-0.16629323735833168","-0.23408423513174056","-0.23408423513174056","-0.23408423513174056"
"62","-0.12845174223184586","-0.12845174223184586","-0.12845174223184586","-0.23474543541669846","-0.23474543541669846","-0.23474543541669846","-0.16843495965003968","-0.16843495965003968","-0.16843495965003968","-0.23370616137981415","-0.23370616137981415","-0.23370616137981415"
"63","-0.13334651999175548","-0.13334651999175548","-0.13334651999175548","-0.23507931232452392","-0.23507931232452392","-0.23507931232452392","-0.1699243113398552","-0.1699243113398552","-0.1699243113398552","-0.23348532021045684","-0.23348532021045684","-0.23348532021045684"
"64","-0.13103762455284595","-0.13103762455284595","-0.13103762455284595","-0.23545658141374587","-0.23545658141374587","-0.23545658141374587","-0.17073572054505348","-0.17073572054505348","-0.17073572054505348","-0.23327643126249314","-0.23327643126249314","-0.23327643126249314"
"65","-0.13161615356802941","-0.13161615356802941","-0.13161615356802941","-0.23607826232910156","-0.23607826232910156","-0.23607826232910156","-0.17384810969233513","-0.17384810969233513","-0.17384810969233513","-0.23475019484758378","-0.23475019484758378","-0.23475019484758378"
"66","-0.13267957866191865","-0.13267957866191865","-0.13267957866191865","-0.23629694133996965","-0.23629694133996965","-0.23629694133996965","-0.17482461407780647","-0.17482461407780647","-0.17482461407780647","-0.2346961498260498","-0.2346961498260498","-0.2346961498260498"
"67","-0.1293313343077898","-0.1293313343077898","-0.1293313343077898","-0.23531595766544341","-0.23531595766544341","-0.23531595766544341","-0.17717574685811996","-0.17717574685811996","-0.17717574685811996","-0.23385826498270035","-0.23385826498270035","-0.23385826498270035"
"68","-0.13149626106023787","-0.13149626106023787","-0.13149626106023787","-0.23654942214488983","-0.23654942214488983","-0.23654942214488983","-0.17832933813333512","-0.17832933813333512","-0.17832933813333512","-0.234269480407238","-0.234269480407238","-0.234269480407238"
"69","-0.13149674907326697","-0.13149674907326697","-0.13149674907326697","-0.23594327867031098","-0.23594327867031098","-0.23594327867031098","-0.1801206201314926","-0.1801206201314926","-0.1801206201314926","-0.2342549204826355","-0.2342549204826355","-0.2342549204826355"
"70","-0.13126640692353247","-0.13126640692353247","-0.13126640692353247","-0.23610718101263045","-0.23610718101263045","-0.23610718101263045","-0.18198117464780808","-0.18198117464780808","-0.18198117464780808","-0.23502228111028672","-0.23502228111028672","-0.23502228111028672"
"71","-0.1331159345805645","-0.1331159345805645","-0.1331159345805645","-0.2368399128317833","-0.2368399128317833","-0.2368399128317833","-0.18312071561813353","-0.18312071561813353","-0.18312071561813353","-0.23429394215345384","-0.23429394215345384","-0.23429394215345384"
"72","-0.13373999632894992","-0.13373999632894992","-0.13373999632894992","-0.23746515065431595","-0.23746515065431595","-0.23746515065431595","-0.1853850580751896","-0.1853850580751896","-0.1853850580751896","-0.23418179154396057","-0.23418179154396057","-0.23418179154396057"
"73","-0.13623388670384884","-0.13623388670384884","-0.13623388670384884","-0.23588818013668061","-0.23588818013668061","-0.23588818013668061","-0.1868925243616104","-0.1868925243616104","-0.1868925243616104","-0.23489975482225417","-0.23489975482225417","-0.23489975482225417"
"74","-0.1280006244778633","-0.1280006244778633","-0.1280006244778633","-0.2367549329996109","-0.2367549329996109","-0.2367549329996109","-0.18831296712160112","-0.18831296712160112","-0.18831296712160112","-0.23427353650331498","-0.23427353650331498","-0.23427353650331498"
"75","-0.13194280080497264","-0.13194280080497264","-0.13194280080497264","-0.23671135902404786","-0.23671135902404786","-0.23671135902404786","-0.1888941079378128","-0.1888941079378128","-0.1888941079378128","-0.2345072790980339","-0.2345072790980339","-0.2345072790980339"
"76","-0.13475661128759384","-0.13475661128759384","-0.13475661128759384","-0.23646581768989564","-0.23646581768989564","-0.23646581768989564","-0.1896942026913166","-0.1896942026913166","-0.1896942026913166","-0.2344986990094185","-0.2344986990094185","-0.2344986990094185"
"77","-0.14257676005363465","-0.14257676005363465","-0.14257676005363465","-0.23712503612041474","-0.23712503612041474","-0.23712503612041474","-0.1914345644414425","-0.1914345644414425","-0.1914345644414425","-0.2348718985915184","-0.2348718985915184","-0.2348718985915184"
"78","-0.13451652452349663","-0.13451652452349663","-0.13451652452349663","-0.23650770187377929","-0.23650770187377929","-0.23650770187377929","-0.1929289110004902","-0.1929289110004902","-0.1929289110004902","-0.23502183705568314","-0.23502183705568314","-0.23502183705568314"
"79","-0.11895279623568059","-0.11895279623568059","-0.11895279623568059","-0.2368726000189781","-0.2368726000189781","-0.2368726000189781","-0.19359780773520469","-0.19359780773520469","-0.19359780773520469","-0.23455002158880234","-0.23455002158880234","-0.23455002158880234"
"80","-0.1358807899057865","-0.1358807899057865","-0.1358807899057865","-0.23354497998952867","-0.23354497998952867","-0.23354497998952867","-0.19459978640079498","-0.19459978640079498","-0.19459978640079498","-0.2343916341662407","-0.2343916341662407","-0.2343916341662407"
"81","-0.1264732141047716","-0.1264732141047716","-0.1264732141047716","-0.23236359506845475","-0.23236359506845475","-0.23236359506845475","-0.19502163380384446","-0.19502163380384446","-0.19502163380384446","-0.23436688929796218","-0.23436688929796218","-0.23436688929796218"
"82","-0.13933614529669286","-0.13933614529669286","-0.13933614529669286","-0.23521783500909804","-0.23521783500909804","-0.23521783500909804","-0.19606279507279395","-0.19606279507279395","-0.19606279507279395","-0.23574303984642028","-0.23574303984642028","-0.23574303984642028"
"83","-0.13270047046244143","-0.13270047046244143","-0.13270047046244143","-0.23733506053686143","-0.23733506053686143","-0.23733506053686143","-0.19763926342129706","-0.19763926342129706","-0.19763926342129706","-0.23227988928556442","-0.23227988928556442","-0.23227988928556442"
"84","-0.13427083976566792","-0.13427083976566792","-0.13427083976566792","-0.2379844978451729","-0.2379844978451729","-0.2379844978451729","-0.1987450271844864","-0.1987450271844864","-0.1987450271844864","-0.23337943404912947","-0.23337943404912947","-0.23337943404912947"
"85","-0.12968820594251157","-0.12968820594251157","-0.12968820594251157","-0.23627833873033524","-0.23627833873033524","-0.23627833873033524","-0.20002387538552285","-0.20002387538552285","-0.20002387538552285","-0.23491634875535966","-0.23491634875535966","-0.23491634875535966"
"86","-0.1378713224083185","-0.1378713224083185","-0.1378713224083185","-0.23681686967611312","-0.23681686967611312","-0.23681686967611312","-0.20098260492086412","-0.20098260492086412","-0.20098260492086412","-0.23245245069265366","-0.23245245069265366","-0.23245245069265366"
"87","-0.12629910930991173","-0.12629910930991173","-0.12629910930991173","-0.2374590128660202","-0.2374590128660202","-0.2374590128660202","-0.20214410796761512","-0.20214410796761512","-0.20214410796761512","-0.23393840491771697","-0.23393840491771697","-0.23393840491771697"
"88","-0.13698264136910437","-0.13698264136910437","-0.13698264136910437","-0.23710781931877137","-0.23710781931877137","-0.23710781931877137","-0.2023717187345028","-0.2023717187345028","-0.2023717187345028","-0.23517041504383088","-0.23517041504383088","-0.23517041504383088"
"89","-0.15047988295555115","-0.15047988295555115","-0.15047988295555115","-0.23411780297756196","-0.23411780297756196","-0.23411780297756196","-0.20387763679027557","-0.20387763679027557","-0.20387763679027557","-0.23544055074453354","-0.23544055074453354","-0.23544055074453354"
"90","-0.13474508039653302","-0.13474508039653302","-0.13474508039653302","-0.23733151257038115","-0.23733151257038115","-0.23733151257038115","-0.20462416484951973","-0.20462416484951973","-0.20462416484951973","-0.23565169274806977","-0.23565169274806977","-0.23565169274806977"
"91","-0.15367676839232444","-0.15367676839232444","-0.15367676839232444","-0.23758920282125473","-0.23758920282125473","-0.23758920282125473","-0.205974493175745","-0.205974493175745","-0.205974493175745","-0.2332246020436287","-0.2332246020436287","-0.2332246020436287"
"92","-0.12681751139461994","-0.12681751139461994","-0.12681751139461994","-0.23708861619234084","-0.23708861619234084","-0.23708861619234084","-0.2073171891272068","-0.2073171891272068","-0.2073171891272068","-0.23232039213180541","-0.23232039213180541","-0.23232039213180541"
"93","-0.14517558924853802","-0.14517558924853802","-0.14517558924853802","-0.2379041388630867","-0.2379041388630867","-0.2379041388630867","-0.20744062922894954","-0.20744062922894954","-0.20744062922894954","-0.23467706143856049","-0.23467706143856049","-0.23467706143856049"
"94","-0.1428428515791893","-0.1428428515791893","-0.1428428515791893","-0.2361928254365921","-0.2361928254365921","-0.2361928254365921","-0.20876531600952147","-0.20876531600952147","-0.20876531600952147","-0.23458759635686874","-0.23458759635686874","-0.23458759635686874"
"95","-0.12465174067765475","-0.12465174067765475","-0.12465174067765475","-0.23759787529706955","-0.23759787529706955","-0.23759787529706955","-0.20942380055785179","-0.20942380055785179","-0.20942380055785179","-0.23489267826080323","-0.23489267826080323","-0.23489267826080323"
"96","-0.14319363236427307","-0.14319363236427307","-0.14319363236427307","-0.2365651860833168","-0.2365651860833168","-0.2365651860833168","-0.2100732546299696","-0.2100732546299696","-0.2100732546299696","-0.234137125313282","-0.234137125313282","-0.234137125313282"
"97","-0.13097026459872724","-0.13097026459872724","-0.13097026459872724","-0.2371583804488182","-0.2371583804488182","-0.2371583804488182","-0.21070501394569874","-0.21070501394569874","-0.21070501394569874","-0.23485595732927322","-0.23485595732927322","-0.23485595732927322"
"98","-0.10540693125221878","-0.10540693125221878","-0.10540693125221878","-0.23739459067583085","-0.23739459067583085","-0.23739459067583085","-0.21146753542125224","-0.21146753542125224","-0.21146753542125224","-0.23514478653669357","-0.23514478653669357","-0.23514478653669357"
"99","-0.13032382726669312","-0.13032382726669312","-0.13032382726669312","-0.23773360550403594","-0.23773360550403594","-0.23773360550403594","-0.21190442182123662","-0.21190442182123662","-0.21190442182123662","-0.23496270328760147","-0.23496270328760147","-0.23496270328760147"
"100","-0.14050008319318294","-0.14050008319318294","-0.14050008319318294","-0.2372565373778343","-0.2372565373778343","-0.2372565373778343","-0.21229498647153378","-0.21229498647153378","-0.21229498647153378","-0.23429116010665893","-0.23429116010665893","-0.23429116010665893"
"101","-0.13352558612823487","-0.13352558612823487","-0.13352558612823487","-0.23783175349235536","-0.23783175349235536","-0.23783175349235536","-0.2130061786621809","-0.2130061786621809","-0.2130061786621809","-0.23419254273176193","-0.23419254273176193","-0.23419254273176193"
"102","-0.14307123124599458","-0.14307123124599458","-0.14307123124599458","-0.23746542632579803","-0.23746542632579803","-0.23746542632579803","-0.21315470822155475","-0.21315470822155475","-0.21315470822155475","-0.23302641361951829","-0.23302641361951829","-0.23302641361951829"
"103","-0.14298271909356117","-0.14298271909356117","-0.14298271909356117","-0.2375798374414444","-0.2375798374414444","-0.2375798374414444","-0.21436668038368226","-0.21436668038368226","-0.21436668038368226","-0.23536693006753923","-0.23536693006753923","-0.23536693006753923"
"104","-0.12467917688190937","-0.12467917688190937","-0.12467917688190937","-0.23768586069345474","-0.23768586069345474","-0.23768586069345474","-0.2149990227073431","-0.2149990227073431","-0.2149990227073431","-0.23407885581254959","-0.23407885581254959","-0.23407885581254959"
